NXST_FLOW reply (xid=0x4):
 cookie=0xa00a27cf, duration=62377.995s, table=47, n_packets=0, n_bytes=0, idle_age=62377, priority=100,ipv6,reg0=0x2002/0x2002,metadata=0x1 actions=ct(commit,zone=NXM_NX_REG13[0..15],nat(src),exec(load:0->NXM_NX_CT_MARK[0],move:NXM_NX_XXREG0[0..31]->NXM_NX_CT_LABEL[96..127])),resubmit(,48)
 cookie=0xa00a27cf, duration=62377.995s, table=47, n_packets=0, n_bytes=0, idle_age=62377, priority=100,ip,reg0=0x2002/0x2002,metadata=0x1 actions=ct(commit,zone=NXM_NX_REG13[0..15],nat(src),exec(load:0->NXM_NX_CT_MARK[0],move:NXM_NX_XXREG0[0..31]->NXM_NX_CT_LABEL[96..127])),resubmit(,48)
 cookie=0x381da0f9, duration=62377.995s, table=47, n_packets=2022, n_bytes=92767, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,48)
 cookie=0xabb26b71, duration=62377.995s, table=48, n_packets=1897, n_bytes=79722, idle_age=15, priority=100,metadata=0x1,dl_dst=01:00:00:00:00:00/01:00:00:00:00:00 actions=load:0->NXM_NX_XXREG0[111],resubmit(,49)
 cookie=0x606b1f1a, duration=62377.995s, table=48, n_packets=140, n_bytes=14155, idle_age=24563, priority=0,metadata=0x1 actions=load:0->NXM_NX_REG10[12],resubmit(,75),move:NXM_NX_REG10[12]->NXM_NX_XXREG0[111],resubmit(,49)
 cookie=0x958ded94, duration=62377.995s, table=49, n_packets=0, n_bytes=0, idle_age=62377, priority=50,reg0=0x8000/0x8000,metadata=0x1 actions=drop
 cookie=0x2e1e477e, duration=62377.995s, table=49, n_packets=2037, n_bytes=93877, idle_age=15, priority=0,metadata=0x1 actions=resubmit(,64)
 cookie=0x22645a2f, duration=62377.993s, table=64, n_packets=0, n_bytes=0, idle_age=62377, priority=100,reg10=0x1/0x1,reg15=0x1,metadata=0x1 actions=push:NXM_OF_IN_PORT[],load:0xffff->NXM_OF_IN_PORT[],resubmit(,65),pop:NXM_OF_IN_PORT[]
 cookie=0x0, duration=63885.027s, table=64, n_packets=2033, n_bytes=92803, idle_age=15, priority=0 actions=resubmit(,65)
 cookie=0x22645a2f, duration=62377.993s, table=65, n_packets=948, n_bytes=39816, idle_age=15, priority=100,reg15=0x1,metadata=0x1 actions=mod_vlan_vid:100,output:3,strip_vlan
